,_id,cap,capEur,createdAt,blocks,lastResultCreatedAt,btc,btcPrice,diff,mnsOff,mnsOn,netHash,peers,status,supply,usd,eur,totalBetParlay,totalMintParlay,oracleBalance,totalBet,totalMint,oracleProfitPerSecond,totalROI,nextSuperBlock
0,60664971c57c5de85e61f209,24960323.318615433,0,2021-04-01T22:30:00.000Z,1619576,2021-04-01T21:18:15.000Z,424.47580593089924,1.96e-06,8727.328766705748,6,2656,601271232345,16,Online,217092634.14369285,0.11509,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11862835705878312,7.890096187056905,1641600
1,60664846f55cf2e61d74cc52,24960323.318615433,0,2021-04-01T22:25:00.000Z,1619573,2021-04-01T21:18:15.000Z,424.47580593089924,1.96e-06,8581.993905545953,5,2657,609980195167,16,Online,217093622.74969286,0.115057,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.1186334882250727,7.887370244133825,1641600
2,6066471a0a2363e3c11c0f58,24892176.696578607,0,2021-04-01T22:20:00.000Z,1619567,2021-04-01T21:18:15.000Z,423.3903259819565,1.96e-06,7634.552981809973,3,2659,607940306365,16,Online,217105149.81669286,0.114969,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11863861983526974,7.881681105866968,1641600
3,606645edb5eb7be17101baa4,24892176.696578607,0,2021-04-01T22:15:00.000Z,1619561,2021-04-01T21:18:15.000Z,423.3903259819565,1.96e-06,6771.185086971122,3,2659,606106103484,16,Online,217105127.01807696,0.114969,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11864375188943185,7.88192457252369,1641600
4,606644c2b457bbdf31e18aac,24795523.064111426,0,2021-04-01T22:10:00.000Z,1619556,2021-04-01T21:18:15.000Z,422.4003846766906,1.95e-06,8113.799366372397,3,2659,609285878578,16,Online,217105108.02407694,0.114655,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11864888438761666,7.882168060245022,1641600
5,60664395cbd356dcd07aa3e8,24795523.064111426,0,2021-04-01T22:05:00.000Z,1619553,2021-04-01T21:18:15.000Z,422.4003846766906,1.95e-06,8740.898694838987,3,2659,624843553999,16,Online,217105096.63032085,0.114353,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11865401732988176,7.8824115690336995,1641600
6,6066426c372c02da87288b46,24766340.16073529,0,2021-04-01T22:00:00.000Z,1619548,2021-04-01T21:18:15.000Z,422.2454090709465,1.95e-06,8772.051665400359,5,2658,618139302257,16,Online,217105077.63632086,0.114205,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11865915071628483,7.885620732864949,1641600
7,6066413eafab45d84564afbf,24766340.16073529,0,2021-04-01T21:55:00.000Z,1619543,2021-04-01T21:18:15.000Z,422.2454090709465,1.94e-06,8952.523981640132,7,2656,592525579737,16,Online,217112043.64432085,0.11407,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11866428454688348,7.891802526311019,1641600
8,60664012cb8a9bd5f19b52a6,24539786.913826168,0,2021-04-01T21:50:00.000Z,1619539,2021-04-01T21:18:15.000Z,417.3383852164486,1.94e-06,8368.60456416012,5,2658,587848035532,16,Online,217114425.44532087,0.11407,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11866941882173539,7.886108039070348,1641600
9,60663ee5ae9de7d3a13b4371,24539786.913826168,0,2021-04-01T21:45:00.000Z,1619530,2021-04-01T21:18:15.000Z,417.3383852164486,1.94e-06,6221.393624048301,4,2659,568252030455,16,Online,217114491.25232086,0.11407,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11867457065737182,7.883386626928736,1641600
10,60663db9a3b305d15dfca540,24573520.450376946,0,2021-04-01T21:40:00.000Z,1619524,2021-04-01T21:18:15.000Z,417.899730615502,1.92e-06,6759.037188931607,6,2660,572078122289,16,Online,217115068.46432087,0.113026,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11867968870442966,7.8806656586208925,1641600
11,60663c8e6d46b4cf08caaaaa,24573520.450376946,0,2021-04-01T21:35:00.000Z,1619519,2021-04-01T21:18:15.000Z,417.899730615502,1.92e-06,6939.7748843883,6,2660,573342157998,16,Online,217115449.46732086,0.113026,0,3162368.0900000017,2537864.835575003,16091.1972324,622522965.350976,627406188.01971,0.11868482431238739,7.88090920227887,1641600
